area,latitude,longitude,node_id,node_type
PACE,40.55611,-111.90056,106THSO_LNODED1,LOAD
PACE,40.53944,-111.89667,118THSO_LNODER1,LOAD
PACE,40.739719999984615,-111.88627032607587,13THSO_LNODE-3,LOAD
PACE,40.739719999984615,-111.88638967392413,13THSO_LNODED2,LOAD
PACE,41.22611,-111.96939,23RDST_LNODED3,LOAD
NV,39.484637,-118.903608,26FTDROP_GNODEIT,GEN
CA,35.294502,-118.854003,2C559EQ2_7_N001,GEN
PACE,40.766389999984625,-111.90188029934612,3RDWEST_LNODED1,LOAD
PACE,40.766389999984625,-111.90199970065389,3RDWEST_LNODED2,LOAD
PACE,40.76582999998463,-111.90494029989908,5THWEST_LNODED1,LOAD
PACE,40.76582999998463,-111.90505970010092,5THWEST_LNODER2,LOAD
PACE,40.75597,-111.88728,6THSO_LNODED1,LOAD
PACE,40.58861,-111.91583,90THSO_LNODE-6,LOAD
APS,33.618315007,-111.927736,AA_LNODE10A,LOAD
APS,33.61831500695321,-111.92762810848366,AA_LNODE12A,LOAD
APS,33.61822516090764,-111.92762810859615,AA_LNODE13A,LOAD
APS,33.61816163020244,-111.92770439936274,AA_LNODE14A,LOAD
APS,33.618146437039904,-111.9278107368834,AA_LNODER1A,LOAD
APS,33.61817755535562,-111.92791195025299,AA_LNODER2A,LOAD
APS,33.61824308177212,-111.92798576672742,AA_LNODER4A,LOAD
APS,33.618327994071755,-111.92802102780111,AA_LNODER6A,LOAD
PACE,37.30361,-109.54806,ABAJO_LNODED1,LOAD
PGE,45.36482999998227,-122.59793626294004,ABRN_LNODEWR1,LOAD
PGE,45.36482999998227,-122.59806373705996,ABRN_LNODEWR2,LOAD
APS,34.5042910069878,-110.3338631303437,ACX_GNODESWMPCC,GEN
APS,34.5042910069878,-110.3339728696563,ACX_LNODEUXL,LOAD
CA,37.632663,-121.785728,ADCC_2_N001,GEN
NV,40.8534344367499,-115.79932843553127,ADOBE_LNODE01,LOAD
NV,40.853253563126806,-115.79932843585769,ADOBE_LNODE02,LOAD
NV,40.853253563126806,-115.79956756414231,ADOBE_LNODE03,LOAD
NV,40.8534344367499,-115.79956756446873,ADOBE_LNODE08,LOAD
APS,33.708874007,-112.134464,AD_LNODE10A,LOAD
APS,33.70887400695289,-112.13435589863748,AD_LNODE12A,LOAD
APS,33.708796128715505,-112.13440994936775,AD_LNODE18A,LOAD
